rank,handle,pnl_usd,volume_usd,followers,num_trades,solana_wallet,evm_wallet,name,bio
1,ether_monk,1980756.24,6226370.56,242230,1431,2xUbYAVq1oJGj45d6JjnaYHAke3NQecUcqWvvVbwmYw8,0x2408ce75d217e3a70d6ca370c78c1b34d706f5a0,Ethermonk 📿,
2,DumbCrayonEater,1958767.36,862377.04,259685,1596,5FGoPPj1nL8LCnfVnpTmreqQtqLuMXXAwuS1uahMrp8V,0x8f62a08537cede87d511aca6436274ab4ca080a3,DumbCrayonEater,
3,unipcs,1863039.27,1086781.03,260016,1602,2heJbC32Tpfcb3nbUb5ER61K11FGZVfVGtVnDm6LDogF,0x0a6ebed0155edb4b21d92ad02897a626cd90119e,Unipcs,"""If the Lord will, we shall live, and do this, or that."" - James 4:15"
4,PoorGoat_,1794761.69,1404005.33,484589,1896,HDixbrzwwLXczhDBk1JVrurPQsuLE8FUKnW2pucSXN3o,0x9ce0cb4a193acbce0dca3283972341aed6f3f614,PoorGoat🐂🀄️💛🐈,Most calls on RUNNR link in bio on x
5,Aurelius0121,1444851.45,7615370.35,266031,2166,9BMzTpSo4URse1oN666pmexhdjpU1vA5p7LtroCFQdLU,0x0c175c6a0065ee05f871a68783d2de432a1e6cbe,Aurelius,
6,Salem1299534,1404010.72,2020450.04,41091,811,2yXwy5Dsa1XtEXcsrkFVRJeyuWD3qKkMN3pP3p5VTW3V,0xb8f305f27ccc406373de0082cc06cb1d065504ea,Salem,"$10,000 and a dream"
7,frogmanhaha,1276229.65,20734.95,22922,30,,,Frogman,
8,Natan_benish,1030792.27,12613.6,15744,1283,DCeH3aCsstGUSxQqS72VBZwTydoor1nQ6dWaxrgGQk39,0x1890e719822bc704c4f117aa4109401c2bab6f79,Nate,
9,brrrgrrrz,1012217.94,2855914.67,29787,1832,GFRjGNXY8JrGSPC46inqrH4XPdUFMDLkE1oNm1nXiPsJ,0x8e4f5d00a5f4d7877a0f66b98fdf9d40323bc52a,Burgz,The action is the juice.
10,0xAvast,885485.34,969824.31,248445,341,8xL8S7P4QLdTGRquHas8NP5EVjp2qUGbmSgrkh97mvmq,0xcc0c581613dfd4ace7c8686668427236f8bd5cc5,Avast,
11,Quanterty,841965.47,4829964.32,235631,813,8f39XhhZoRD8sYb6K5K9N7iSHXkL7BDmFFQNDF3TtsEr,0x0121525f755c9e7bbc525bba6672716ab46ced57,Qwerty,Washed trader attempting to climb a social trading leaderboard
12,theveeman,792710.9,2525701.2,119851,1526,F5hkYsi8JxjyA2JHN5CA7MbnnhWubkXB2ZQB7Gkaxqs6,0xa0670863bd5cd0d60022bab2eed78e81e1a06bce,Vee,
13,0xleo,787395.59,22955341.49,56754,907,3qBVJLMAWXCbW3nhz99T99in82zZeUHkbDeSDJThbN4Z,0xeb0f432beecf10dcc828fc1e36a3386caf634637,leo,
14,insentos,758279.68,6433995.2,91272,361,33vFB2rtG9FDpJReNaJrBF4RZgri5HTVo5gSxP1XfVCr,0x93c006f2051cb72168cf8c27cafe0fb2d71682c8,insentos,
15,inyourwalls,750600.72,2095019.08,16793,1019,CBKJmhjDp7mxBYGAFWxCaPjD2BSJWpb4nQqnLd7rhSaM,0xefe9764acb00822338a80f907075c53f60a5781e,inyourwalls,
