rank,handle,pnl_usd,volume_usd,followers,num_trades,smart_score,flags,solana_wallet,evm_wallet,name
1,ether_monk,2012078.36,6226370.56,242292,1431,83,WHALE|SERIOUS,,,
5,Aurelius0121,1478503.16,7615370.35,266049,2166,82,WHALE|SERIOUS,,,
17,change,720585.8,22525561.98,329435,2046,76,WHALE|SERIOUS,,,
3,unipcs,1872175.36,1086781.03,260062,1602,75,WHALE|SERIOUS,,,
2,DumbCrayonEater,1955222.73,862377.04,259758,1596,72,WHALE|SERIOUS,,,
4,PoorGoat_,1787602.29,1404005.33,484638,1896,72,WHALE|SERIOUS,,,
19,loganlim_x,659728.99,8675174.93,107537,1106,68,SERIOUS,,,
12,theveeman,780586.38,2525701.2,119861,1526,65,SERIOUS,,,
11,Quanterty,852507.16,4829964.32,235644,813,64,WHALE|SERIOUS,,,
9,brrrgrrrz,1015828.62,2855914.67,29798,1832,63,SERIOUS,,,
15,0xleo,746612.33,22955341.49,56761,907,63,SERIOUS,,,
31,jotagezin,410880.5,10940365.8,109139,2136,63,-,,,
6,Salem1299534,1409823.41,2020450.04,41118,811,62,SERIOUS,,,
13,insentos,778276.66,6433995.2,91283,361,62,-,,,
10,0xAvast,903501.05,969824.31,248450,341,57,-,,,
